================================================================================
                    PROCESSES WITH EMBEDDINGS
                    GENERATED WITH REFERENCES
================================================================================
Generated on: November 03, 2025 at 10:29 AM
Total scenarios with embeddings: 811

[11111] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Information Technology | PMBOK
[42353] Large Government Project | Construction | Large (> 18 months) | Education | ISO Standards
[43111] Large Government Project | Research | Small (< 6 months) | Information Technology | PMBOK
[43112] Large Government Project | Research | Small (< 6 months) | Information Technology | PRINCE2
[43113] Large Government Project | Research | Small (< 6 months) | Information Technology | ISO Standards
[43121] Large Government Project | Research | Small (< 6 months) | Construction | PMBOK
[43122] Large Government Project | Research | Small (< 6 months) | Construction | PRINCE2
[43123] Large Government Project | Research | Small (< 6 months) | Construction | ISO Standards
[43131] Large Government Project | Research | Small (< 6 months) | Healthcare | PMBOK
[43132] Large Government Project | Research | Small (< 6 months) | Healthcare | PRINCE2
[43133] Large Government Project | Research | Small (< 6 months) | Healthcare | ISO Standards
[43141] Large Government Project | Research | Small (< 6 months) | Finance | PMBOK
[43142] Large Government Project | Research | Small (< 6 months) | Finance | PRINCE2
[43143] Large Government Project | Research | Small (< 6 months) | Finance | ISO Standards
[43151] Large Government Project | Research | Small (< 6 months) | Education | PMBOK
[43152] Large Government Project | Research | Small (< 6 months) | Education | PRINCE2
[43153] Large Government Project | Research | Small (< 6 months) | Education | ISO Standards
[43211] Large Government Project | Research | Medium (6-18 months) | Information Technology | PMBOK
[43212] Large Government Project | Research | Medium (6-18 months) | Information Technology | PRINCE2
[43213] Large Government Project | Research | Medium (6-18 months) | Information Technology | ISO Standards
[43221] Large Government Project | Research | Medium (6-18 months) | Construction | PMBOK
[43222] Large Government Project | Research | Medium (6-18 months) | Construction | PRINCE2
[43223] Large Government Project | Research | Medium (6-18 months) | Construction | ISO Standards
[43231] Large Government Project | Research | Medium (6-18 months) | Healthcare | PMBOK
[43232] Large Government Project | Research | Medium (6-18 months) | Healthcare | PRINCE2
[43233] Large Government Project | Research | Medium (6-18 months) | Healthcare | ISO Standards
[43241] Large Government Project | Research | Medium (6-18 months) | Finance | PMBOK
[43242] Large Government Project | Research | Medium (6-18 months) | Finance | PRINCE2
[43243] Large Government Project | Research | Medium (6-18 months) | Finance | ISO Standards
[43251] Large Government Project | Research | Medium (6-18 months) | Education | PMBOK
[43252] Large Government Project | Research | Medium (6-18 months) | Education | PRINCE2
[43253] Large Government Project | Research | Medium (6-18 months) | Education | ISO Standards
[43311] Large Government Project | Research | Large (> 18 months) | Information Technology | PMBOK
[43312] Large Government Project | Research | Large (> 18 months) | Information Technology | PRINCE2
[43313] Large Government Project | Research | Large (> 18 months) | Information Technology | ISO Standards
[43321] Large Government Project | Research | Large (> 18 months) | Construction | PMBOK
[43322] Large Government Project | Research | Large (> 18 months) | Construction | PRINCE2
[43323] Large Government Project | Research | Large (> 18 months) | Construction | ISO Standards
[43331] Large Government Project | Research | Large (> 18 months) | Healthcare | PMBOK
[43332] Large Government Project | Research | Large (> 18 months) | Healthcare | PRINCE2
[43333] Large Government Project | Research | Large (> 18 months) | Healthcare | ISO Standards
[43341] Large Government Project | Research | Large (> 18 months) | Finance | PMBOK
[43342] Large Government Project | Research | Large (> 18 months) | Finance | PRINCE2
[43343] Large Government Project | Research | Large (> 18 months) | Finance | ISO Standards
[43351] Large Government Project | Research | Large (> 18 months) | Education | PMBOK
[43352] Large Government Project | Research | Large (> 18 months) | Education | PRINCE2
[43353] Large Government Project | Research | Large (> 18 months) | Education | ISO Standards
[44111] Large Government Project | Marketing | Small (< 6 months) | Information Technology | PMBOK
[44112] Large Government Project | Marketing | Small (< 6 months) | Information Technology | PRINCE2
[44113] Large Government Project | Marketing | Small (< 6 months) | Information Technology | ISO Standards
[44121] Large Government Project | Marketing | Small (< 6 months) | Construction | PMBOK
[44122] Large Government Project | Marketing | Small (< 6 months) | Construction | PRINCE2
[44123] Large Government Project | Marketing | Small (< 6 months) | Construction | ISO Standards
[44131] Large Government Project | Marketing | Small (< 6 months) | Healthcare | PMBOK
[44132] Large Government Project | Marketing | Small (< 6 months) | Healthcare | PRINCE2
[44133] Large Government Project | Marketing | Small (< 6 months) | Healthcare | ISO Standards
[44141] Large Government Project | Marketing | Small (< 6 months) | Finance | PMBOK
[44142] Large Government Project | Marketing | Small (< 6 months) | Finance | PRINCE2
[44143] Large Government Project | Marketing | Small (< 6 months) | Finance | ISO Standards
[44152] Large Government Project | Marketing | Small (< 6 months) | Education | PRINCE2
[44153] Large Government Project | Marketing | Small (< 6 months) | Education | ISO Standards
[44211] Large Government Project | Marketing | Medium (6-18 months) | Information Technology | PMBOK
[44212] Large Government Project | Marketing | Medium (6-18 months) | Information Technology | PRINCE2
[44213] Large Government Project | Marketing | Medium (6-18 months) | Information Technology | ISO Standards
[44221] Large Government Project | Marketing | Medium (6-18 months) | Construction | PMBOK
[44222] Large Government Project | Marketing | Medium (6-18 months) | Construction | PRINCE2
[44223] Large Government Project | Marketing | Medium (6-18 months) | Construction | ISO Standards
[44231] Large Government Project | Marketing | Medium (6-18 months) | Healthcare | PMBOK
[44232] Large Government Project | Marketing | Medium (6-18 months) | Healthcare | PRINCE2
[44233] Large Government Project | Marketing | Medium (6-18 months) | Healthcare | ISO Standards
[44241] Large Government Project | Marketing | Medium (6-18 months) | Finance | PMBOK
[44242] Large Government Project | Marketing | Medium (6-18 months) | Finance | PRINCE2
[44243] Large Government Project | Marketing | Medium (6-18 months) | Finance | ISO Standards
[44251] Large Government Project | Marketing | Medium (6-18 months) | Education | PMBOK
[44252] Large Government Project | Marketing | Medium (6-18 months) | Education | PRINCE2
[44253] Large Government Project | Marketing | Medium (6-18 months) | Education | ISO Standards
[44311] Large Government Project | Marketing | Large (> 18 months) | Information Technology | PMBOK
[44312] Large Government Project | Marketing | Large (> 18 months) | Information Technology | PRINCE2
[44313] Large Government Project | Marketing | Large (> 18 months) | Information Technology | ISO Standards
[44321] Large Government Project | Marketing | Large (> 18 months) | Construction | PMBOK
[44322] Large Government Project | Marketing | Large (> 18 months) | Construction | PRINCE2
[44323] Large Government Project | Marketing | Large (> 18 months) | Construction | ISO Standards
[44331] Large Government Project | Marketing | Large (> 18 months) | Healthcare | PMBOK
[44332] Large Government Project | Marketing | Large (> 18 months) | Healthcare | PRINCE2
[44333] Large Government Project | Marketing | Large (> 18 months) | Healthcare | ISO Standards
[44341] Large Government Project | Marketing | Large (> 18 months) | Finance | PMBOK
[44342] Large Government Project | Marketing | Large (> 18 months) | Finance | PRINCE2
[44343] Large Government Project | Marketing | Large (> 18 months) | Finance | ISO Standards
[44351] Large Government Project | Marketing | Large (> 18 months) | Education | PMBOK
[44352] Large Government Project | Marketing | Large (> 18 months) | Education | PRINCE2
[44353] Large Government Project | Marketing | Large (> 18 months) | Education | ISO Standards
[45111] Large Government Project | Infrastructure | Small (< 6 months) | Information Technology | PMBOK
[45112] Large Government Project | Infrastructure | Small (< 6 months) | Information Technology | PRINCE2
[45113] Large Government Project | Infrastructure | Small (< 6 months) | Information Technology | ISO Standards
[45121] Large Government Project | Infrastructure | Small (< 6 months) | Construction | PMBOK
[45122] Large Government Project | Infrastructure | Small (< 6 months) | Construction | PRINCE2
[45123] Large Government Project | Infrastructure | Small (< 6 months) | Construction | ISO Standards
[45131] Large Government Project | Infrastructure | Small (< 6 months) | Healthcare | PMBOK
[45132] Large Government Project | Infrastructure | Small (< 6 months) | Healthcare | PRINCE2
[45133] Large Government Project | Infrastructure | Small (< 6 months) | Healthcare | ISO Standards
[45141] Large Government Project | Infrastructure | Small (< 6 months) | Finance | PMBOK
[45142] Large Government Project | Infrastructure | Small (< 6 months) | Finance | PRINCE2
[45143] Large Government Project | Infrastructure | Small (< 6 months) | Finance | ISO Standards
[45152] Large Government Project | Infrastructure | Small (< 6 months) | Education | PRINCE2
[45153] Large Government Project | Infrastructure | Small (< 6 months) | Education | ISO Standards
[45211] Large Government Project | Infrastructure | Medium (6-18 months) | Information Technology | PMBOK
[45212] Large Government Project | Infrastructure | Medium (6-18 months) | Information Technology | PRINCE2
[45213] Large Government Project | Infrastructure | Medium (6-18 months) | Information Technology | ISO Standards
[45221] Large Government Project | Infrastructure | Medium (6-18 months) | Construction | PMBOK
[45222] Large Government Project | Infrastructure | Medium (6-18 months) | Construction | PRINCE2
[45223] Large Government Project | Infrastructure | Medium (6-18 months) | Construction | ISO Standards
[45231] Large Government Project | Infrastructure | Medium (6-18 months) | Healthcare | PMBOK
[45232] Large Government Project | Infrastructure | Medium (6-18 months) | Healthcare | PRINCE2
[45233] Large Government Project | Infrastructure | Medium (6-18 months) | Healthcare | ISO Standards
[45241] Large Government Project | Infrastructure | Medium (6-18 months) | Finance | PMBOK
[45242] Large Government Project | Infrastructure | Medium (6-18 months) | Finance | PRINCE2
[45243] Large Government Project | Infrastructure | Medium (6-18 months) | Finance | ISO Standards
[45251] Large Government Project | Infrastructure | Medium (6-18 months) | Education | PMBOK
[45252] Large Government Project | Infrastructure | Medium (6-18 months) | Education | PRINCE2
[45253] Large Government Project | Infrastructure | Medium (6-18 months) | Education | ISO Standards
[45311] Large Government Project | Infrastructure | Large (> 18 months) | Information Technology | PMBOK
[45312] Large Government Project | Infrastructure | Large (> 18 months) | Information Technology | PRINCE2
[45313] Large Government Project | Infrastructure | Large (> 18 months) | Information Technology | ISO Standards
[45321] Large Government Project | Infrastructure | Large (> 18 months) | Construction | PMBOK
[45322] Large Government Project | Infrastructure | Large (> 18 months) | Construction | PRINCE2
[45323] Large Government Project | Infrastructure | Large (> 18 months) | Construction | ISO Standards
[45331] Large Government Project | Infrastructure | Large (> 18 months) | Healthcare | PMBOK
[45332] Large Government Project | Infrastructure | Large (> 18 months) | Healthcare | PRINCE2
[45333] Large Government Project | Infrastructure | Large (> 18 months) | Healthcare | ISO Standards
[45341] Large Government Project | Infrastructure | Large (> 18 months) | Finance | PMBOK
[45342] Large Government Project | Infrastructure | Large (> 18 months) | Finance | PRINCE2
[45343] Large Government Project | Infrastructure | Large (> 18 months) | Finance | ISO Standards
[45351] Large Government Project | Infrastructure | Large (> 18 months) | Education | PMBOK
[45352] Large Government Project | Infrastructure | Large (> 18 months) | Education | PRINCE2
[45353] Large Government Project | Infrastructure | Large (> 18 months) | Education | ISO Standards
